merge_id,stratum,split,pass_a,pass_b,final_primary,source,confidence_a,confidence_b,secondary_a,secondary_b
fasterxml_jackson-datatype-joda__4e6c266339,A,heldout,flaky-suspect,none-identified,none-identified,ali-ruling,medium,high,,
feroult_yawp__141f79a8e9,A,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
feroult_yawp__1723236a65,A,heldout,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
flaxsearch_luwak__666bdd192e,B,heldout,indeterminate,stale-caller-of-changed-signature,stale-caller-of-changed-signature,ali-ruling,medium,high,,
flaxsearch_luwak__7956093330,B,heldout,indeterminate,none-identified,none-identified,ali-ruling,medium,high,,
flaxsearch_luwak__9f54b4463e,B,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
fluentlenium_fluentlenium__6be832b8bb,B,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
fluentlenium_fluentlenium__adba3e9556,B,heldout,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,high,high,stale-reference-to-renamed-or-relocated-declaration,
frankbille_scoreboard__890ecd0bdb,A,heldout,overlapping-edit-interleaving,indeterminate,indeterminate,ali-ruling,medium,medium,stale-expectation-of-changed-behavior,
garbagemule_mobarena__b34dc0d5ac,A,derivation,none-identified,none-identified,none-identified,agree,high,medium,,
gitools_gitools__02221bf3d8,B,derivation,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,agree,high,high,,
glowroot_glowroot__5edc6961f8,B,derivation,none-identified,indeterminate,none-identified,ali-ruling,medium,medium,,
google_compile-testing__608e1cb92a,A,heldout,none-identified,none-identified,none-identified,agree,high,high,,
google_truth__2e4a23bebb,A,heldout,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
google_truth__9289ed34ae,A,heldout,none-identified,none-identified,none-identified,agree,medium,high,,
greese_dasein-cloud-core__6c37152e5f,A,derivation,none-identified,none-identified,none-identified,agree,high,high,,
guhilling_cdi-test__04817bb259,B,heldout,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,agree,high,high,,
guhilling_cdi-test__f3f8094c67,A,heldout,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,high,high,,
gwtbootstrap3_gwtbootstrap3__5c0d1eab79,A,derivation,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-removed-declaration,stale-reference-to-removed-declaration,ali-ruling,medium,high,stale-reference-to-removed-declaration,
haraldwalker_user-agent-utils__eaaaa1488b,A,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
ignorance77_transformiceapi__9a65b8374f,A,heldout,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,agree,medium,medium,,
imixs_imixs-workflow__23b86de5b4,A,derivation,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,agree,high,high,,
imixs_imixs-workflow__d370e1aa34,B,derivation,none-identified,indeterminate,none-identified,ali-ruling,medium,low,,
irstv_cts__99e5d7dd43,B,heldout,indeterminate,indeterminate,indeterminate,agree,medium,low,,
iryndin_jdbf__9853124d73,A,derivation,none-identified,none-identified,none-identified,agree,high,medium,,
j256_ormlite-core__2c159335d4,A,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
j256_ormlite-core__606986f118,A,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
jacquesberger_jsonparsingexample__ac521954c2,A,derivation,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,high,high,,
jadler-mocking_jadler__294a06c3fc,A,derivation,none-identified,none-identified,none-identified,agree,high,high,,
jakewharton_disklrucache__7f28919d2a,B,derivation,stale-expectation-of-changed-behavior,stale-expectation-of-changed-behavior,stale-expectation-of-changed-behavior,agree,high,high,,
javamoney_jsr354-api__6d2356a153,A,heldout,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
javaparser_javaparser__41a398414f,A,derivation,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree-sampled-accepted,medium,medium,,
javaparser_javaparser__6a08db8f51,B,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
javaparser_javaparser__91ebf36c06,A,heldout,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,high,high,,
javaparser_javaparser__a23c6aa3b8,A,heldout,indeterminate,indeterminate,indeterminate,agree,low,medium,,
javaparser_javaparser__dc6254f1bf,A,derivation,stale-reference-to-removed-declaration,stale-reference-to-removed-declaration,stale-reference-to-removed-declaration,agree,high,high,,
javaparser_javaparser__e6063bb10d,B,heldout,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,medium,medium,,
javaparser_javaparser__ff91564b7f,A,derivation,stale-expectation-of-changed-behavior,stale-expectation-of-changed-behavior,stale-expectation-of-changed-behavior,agree,medium,medium,,
jboss-msc_jboss-msc__1d9b8d45ff,A,derivation,none-identified,none-identified,none-identified,agree,high,high,,
jboss-msc_jboss-msc__a4e21a3b10,A,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
jboss-remoting_jboss-remoting__66a0631d13,A,derivation,none-identified,none-identified,none-identified,agree,high,high,,
jcabi_jcabi-github__27cc460e3c,A,heldout,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,agree,high,high,,
jcabi_jcabi-github__b13d2596ba,A,derivation,stale-reference-to-removed-declaration,stale-reference-to-removed-declaration,stale-reference-to-removed-declaration,agree,high,high,,
jcabi_jcabi-github__e18a8ffd16,A,derivation,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,stale-reference-to-removed-declaration
jcabi_jcabi-github__fccaac2ed7,B,heldout,none-identified,indeterminate,none-identified,ali-ruling,medium,medium,,
jdeparser_jdeparser2__868afefbb4,B,derivation,overlapping-edit-interleaving,stale-reference-to-removed-declaration,stale-reference-to-removed-declaration,ali-ruling,medium,medium,stale-reference-to-removed-declaration,
jdupl_lancoder__407742ea19,A,derivation,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,high,high,,
jenkinsci_build-timeout-plugin__daeab4a1ee,B,derivation,indeterminate,stale-usage-of-pruned-import,stale-usage-of-pruned-import,ali-ruling,low,medium,,
jenkinsci_coverity-plugin__2fb8690816,A,heldout,none-identified,none-identified,none-identified,agree,medium,medium,,
jenkinsci_coverity-plugin__5846a9f06a,B,heldout,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
jenkinsci_coverity-plugin__62bdb6232e,A,derivation,stale-expectation-of-changed-behavior,stale-expectation-of-changed-behavior,stale-expectation-of-changed-behavior,agree,medium,high,,
jenkinsci_credentials-plugin__b9cb5f9d1b,A,heldout,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
jenkinsci_credentials-plugin__e9cf377a17,B,derivation,indeterminate,stale-usage-of-pruned-import,stale-usage-of-pruned-import,ali-ruling,medium,high,,
jenkinsci_docker-build-publish-plugin__59faa9673c,A,derivation,none-identified,indeterminate,indeterminate,ali-ruling,medium,medium,,
jenkinsci_email-ext-plugin__4def0e56a8,A,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
jenkinsci_email-ext-plugin__bbf162f5d5,B,heldout,insertion-anchored-to-relocated-code,insertion-anchored-to-relocated-code,insertion-anchored-to-relocated-code,agree,high,high,,
jenkinsci_jira-plugin__0eec353cb5,A,derivation,none-identified,none-identified,none-identified,agree,high,high,,
jenkinsci_jira-plugin__6ad78581c9,A,heldout,none-identified,none-identified,none-identified,agree,medium,medium,,
jenkinsci_junit-plugin__cfcac8f0c9,B,heldout,none-identified,indeterminate,indeterminate,ali-ruling,medium,medium,,
jenkinsci_ldap-plugin__3eee59e25a,A,heldout,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
jenkinsci_ui-samples-plugin__81bf937a3d,A,heldout,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree-sampled-accepted,high,high,,
jiaqi_jmxterm__c6a0ae5c6c,B,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
jline_jline2__348cb9dada,A,derivation,duplicate-concurrent-addition,duplicate-concurrent-addition,duplicate-concurrent-addition,agree,medium,medium,,
jline_jline2__5acfe59453,B,derivation,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,agree,high,high,,
jmetal_jmetal__162d1a63b7,A,derivation,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,medium,high,stale-caller-of-changed-signature,stale-caller-of-changed-signature
jmetal_jmetal__3724e879b8,B,heldout,indeterminate,indeterminate,indeterminate,agree,medium,low,,
jmetal_jmetal__7d9295f890,A,heldout,none-identified,none-identified,none-identified,agree,medium,medium,,
jmetal_jmetal__b4630972a8,A,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
jmrozanec_cron-utils__a77c0476c3,B,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
jnr_jnr-unixsocket__467698b6bd,A,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree-sampled-accepted,high,high,,
jnr_jnr-unixsocket__f8f34e5634,A,heldout,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
joel-costigliola_assertj-core__1b4ad829f3,A,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
joel-costigliola_assertj-core__74baae279d,A,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
joel-costigliola_assertj-core__a3011e7f9e,B,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
joel-costigliola_assertj-core__d04568906e,B,heldout,none-identified,none-identified,none-identified,agree,high,high,,
joel-costigliola_assertj-core__d3dab0d22c,B,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
joel-costigliola_assertj-core__df351133a9,B,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
jparsec_jparsec__ef02642abd,A,heldout,none-identified,indeterminate,indeterminate,ali-ruling,medium,low,,
jsamoocha_linksalienceclassification__7aff5753c7,B,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
jsprit_jsprit__193d4ec85c,B,derivation,indeterminate,indeterminate,indeterminate,agree-sampled-accepted,medium,medium,,
jsprit_jsprit__5cf6758085,A,heldout,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,medium,,
jsprit_jsprit__c60ab8afd0,B,heldout,indeterminate,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,ali-ruling,medium,medium,,stale-caller-of-changed-signature
jsprit_jsprit__df2e3e4b7e,B,derivation,stale-expectation-of-changed-behavior,stale-expectation-of-changed-behavior,stale-expectation-of-changed-behavior,agree,medium,high,,
jwtk_jjwt__fd52e0ffc2,B,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
jwtk_jjwt__ff932e9838,A,derivation,indeterminate,indeterminate,indeterminate,agree,medium,low,,
k3po_k3po__084cc0b426,A,heldout,duplicate-concurrent-addition,duplicate-concurrent-addition,duplicate-concurrent-addition,agree,high,high,,
kaazing_k3po__084cc0b426,A,derivation,duplicate-concurrent-addition,duplicate-concurrent-addition,duplicate-concurrent-addition,agree,high,high,,
kaazing_robot__084cc0b426,A,derivation,duplicate-concurrent-addition,duplicate-concurrent-addition,duplicate-concurrent-addition,agree,high,high,,
kohsuke_github-api__4e56b8bb78,A,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
kongchen_swagger-maven-plugin__10c79c6df1,B,derivation,stale-expectation-of-changed-behavior,stale-expectation-of-changed-behavior,stale-expectation-of-changed-behavior,agree,medium,medium,,
kongchen_swagger-maven-plugin__1e61731653,A,heldout,none-identified,none-identified,none-identified,agree,high,high,,
kongchen_swagger-maven-plugin__3d2ea22d07,A,derivation,none-identified,none-identified,none-identified,agree,high,high,,
learning-layers_socialsemanticserver__4ada3cddc3,A,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
logstash_log4j-jsonevent-layout__ee90110799,B,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
lukas-krecan_jsonunit__3cb3260c4b,B,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
lwhite1_tablesaw__13178c81a1,A,heldout,none-identified,none-identified,none-identified,agree,medium,high,,
mashape_unirest-java__121f85b819,A,derivation,flaky-suspect,flaky-suspect,flaky-suspect,agree,medium,medium,,
mashape_unirest-java__b43fb95f4a,A,derivation,flaky-suspect,flaky-suspect,flaky-suspect,agree,medium,medium,,
masterthought_cucumber-reporting__d1ecdc4a98,B,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
mbosecke_pebble__4466be45d7,B,heldout,indeterminate,none-identified,none-identified,ali-ruling,medium,medium,,
mbosecke_pebble__617aab328f,A,derivation,indeterminate,indeterminate,indeterminate,agree,low,medium,,
mbosecke_pebble__bb807558a3,B,heldout,indeterminate,stale-usage-of-pruned-import,stale-usage-of-pruned-import,ali-ruling,medium,medium,,
mbosecke_pebble__e1d07bf277,B,derivation,none-identified,indeterminate,none-identified,ali-ruling,medium,medium,,
mercadopago_sdk-java__9dfc950fd2,B,derivation,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
mercadopago_sdk-java__b7498c6f9d,A,derivation,none-identified,none-identified,none-identified,agree,high,high,,
mikera_vectorz__d93ef1b341,A,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
mitre_http-proxy-servlet__b7a68118f2,A,derivation,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
mixpanel_mixpanel-java__bcdd1ed28f,A,derivation,none-identified,none-identified,none-identified,agree,high,high,,
monitorjbl_excel-streaming-reader__5c0538482f,B,derivation,indeterminate,indeterminate,indeterminate,agree-sampled-accepted,medium,medium,,
monitorjbl_excel-streaming-reader__8698befdf4,A,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
movsim_movsim__6dae25caf7,A,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
msopentech_azure-activedirectory-library-for-java__c2385c17f0,B,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
msopentech_azure-activedirectory-library-for-java__d3f143872b,A,derivation,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,medium,medium,,
mtedone_podam__8d5f7e40f6,B,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
named-data_jndn__3d47402192,A,derivation,none-identified,none-identified,none-identified,agree,medium,high,,
named-data_jndn__e0db451bf1,A,heldout,none-identified,none-identified,none-identified,agree,medium,medium,,
nhl_link-etl__5809ccc762,B,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
ninjaframework_ninja__31737c1a10,A,heldout,stale-caller-of-changed-signature,stale-caller-of-changed-signature,stale-caller-of-changed-signature,agree,high,high,,
ninjaframework_ninja__45bb542cb4,A,heldout,none-identified,none-identified,none-identified,agree,medium,medium,,
ninjaframework_ninja__663883c228,A,derivation,none-identified,indeterminate,none-identified,ali-ruling,medium,medium,,
ninjaframework_ninja__94b2365be3,A,derivation,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
northlander_a__c3f2865b88,A,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
nuodb_migration-tools__2e1f6973c4,A,derivation,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,medium,high,,
nurkiewicz_java8-workshop__f5918aa79c,A,heldout,none-identified,none-identified,none-identified,agree,medium,medium,,
nysenate_openlegislation__9c7cf034c1,A,derivation,indeterminate,indeterminate,indeterminate,agree,low,medium,,
nysenate_openlegislation__b8da5f2051,B,heldout,none-identified,none-identified,none-identified,agree,high,high,,
okleine_ncoap__99de16a6d2,A,heldout,none-identified,none-identified,none-identified,agree,high,high,,
omnifaces_omnifaces__9fed2fb24d,B,heldout,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
onebusaway_onebusaway-application-modules__915e2f3ffe,A,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
onebusaway_onebusaway-application-modules__e779e9fce1,A,derivation,none-identified,none-identified,none-identified,agree,high,high,,
openhft_chronicle-bytes__0fb20d3a47,B,derivation,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,high,high,,
openhft_chronicle-bytes__5bad7e86ea,A,derivation,none-identified,none-identified,none-identified,agree,medium,high,,
openhft_chronicle-bytes__e3ac571d25,A,derivation,none-identified,none-identified,none-identified,agree,high,high,,
openpnp_openpnp__93126880a6,A,derivation,none-identified,none-identified,none-identified,agree,high,high,,
openpnp_openpnp__a3cca4daba,A,derivation,indeterminate,indeterminate,indeterminate,agree,medium,medium,,
openpnp_openpnp__a43f3e919e,B,derivation,insertion-anchored-to-relocated-code,insertion-anchored-to-relocated-code,insertion-anchored-to-relocated-code,agree,high,high,,
openpnp_openpnp__b62c0ce826,B,derivation,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,stale-reference-to-renamed-or-relocated-declaration,agree,medium,medium,stale-caller-of-changed-signature,stale-caller-of-changed-signature
openpnp_openpnp__fb30708fe0,A,heldout,none-identified,none-identified,none-identified,agree,medium,medium,,
oxo42_stateless4j__4c7880ec0e,B,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
premium-minds_billy__bc9db33323,B,derivation,overlapping-edit-interleaving,overlapping-edit-interleaving,overlapping-edit-interleaving,agree,medium,high,,
prism_prism-bukkit__15140fadb2,A,heldout,none-identified,none-identified,none-identified,agree,high,high,,
prism_prism-bukkit__395b9a57a5,B,heldout,none-identified,none-identified,none-identified,agree,high,medium,,
prism_prism-bukkit__6dfb9ef0cf,A,heldout,none-identified,none-identified,none-identified,agree,high,high,,
prism_prism-bukkit__74927cacad,A,heldout,indeterminate,indeterminate,indeterminate,agree,high,high,,
prism_prism-bukkit__c9fd69aac9,B,derivation,none-identified,none-identified,none-identified,agree-sampled-accepted,medium,medium,,
progether_jadventure__9ce4a7106c,A,heldout,duplicate-concurrent-addition,duplicate-concurrent-addition,duplicate-concurrent-addition,agree,high,high,,
progether_jadventure__e28401af85,A,heldout,stale-usage-of-pruned-import,stale-usage-of-pruned-import,stale-usage-of-pruned-import,agree,high,high,,
projectblueshift_blueshiftapi__004679e5bb,A,derivation,none-identified,none-identified,none-identified,agree,medium,high,,
projectkorra_projectkorra__f76c2ce874,B,derivation,none-identified,none-identified,none-identified,agree,medium,medium,,
qcadoo_mes__c6cb8180e5,B,derivation,stale-reference-to-renamed-or-relocated-declaration,indeterminate,stale-reference-to-renamed-or-relocated-declaration,ali-ruling,medium,medium,stale-caller-of-changed-signature,
